provider	receiver	content	author	source	contributor	references
HSK Examination Office (HSK試験事務局)	colleges and universities in Hubei	山川异域 风月同天	長屋王	繡袈裟衣緣	林隆樹, director @HSK日本実施委員会	http://www.xinhuanet.com/ent/2020-02/15/c_1125577149.htm
Renxin Association (仁心会) & Japan Hubei General Chamber of Commerce (日本湖北总商会), etc.		岂曰无衣 与子同裳		詩經·唐風·无衣	a Chinese doctoral student in Japan	http://www.xinhuanet.com/ent/2020-02/15/c_1125577149.htm
Embassy of the PRC in Italy (驻意使馆)	Chinese students	细理游子绪 菰米似故乡				https://www.weibo.com/1645255202/IBkZad42X
Embassy of the PRC in the Netherlands (驻荷使馆) & ACSSNL (全荷学联)	Chinese students	月明闻杜宇 南北总关心 东西相望 海内同心 祖国托念 共克时艰				https://www.weibo.com/1645255202/IBkZad42X
Consulate-General of the PRC in Vancouver (驻温哥华总领事馆)	Chinese students	枫华温情 众志成城				https://www.weibo.com/1645255202/IBkZad42X
Maizuru Gov. (舞鶴)	Dalian Gov.	青山一道同云雨 明月何曾是两乡	王昌齡	送柴侍御	曲振波, Dalianese, CIA @舞鶴市役所	http://www.xinhuanet.com/ent/2020-02/15/c_1125577149.htm
Toyama Gov.	Liaoning Gov.	辽河雪融 富山花开 同气连枝 共盼春来	孙肖, economic liaison officer @富山県役所			http://www.xinhuanet.com/ent/2020-02/15/c_1125577149.htm
Xinwu Gov., Wuxi (新吴, 无锡)	Toshikawa Gov.	一衣帶水 源遠流長 隔海相望 櫻花滿開 眾志成城 戰疫必勝				https://twitter.com/ChnEmbassy_jp/status/1242449990477164544
RESI (琉球経済戦略研究会)	Fujian Red Cross (福建省红十字会)	守禮之邦 源遠流長				https://www.facebook.com/ryukeikai/posts/1789369607859786
Xiamen Airlines	Korean Air's Pilots' Union	比邻携手 共克时艰				http://yuqing.people.com.cn/n1/2020/0401/c209043-31657975.html
Geely (吉利) & Li Shufu Charity Foundation	Germany, Sweden, UK, etc.	海内存知己 天涯若比邻				http://yuqing.people.com.cn/n1/2020/0401/c209043-31657975.html
GAC FCA (广汽菲克)	Ferrara, Italy	同舟共济 守望相助 意路同行 携手战疫				http://yuqing.people.com.cn/n1/2020/0401/c209043-31657975.html
